version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 972794921841 eni-03f454ca172921d2a 10.192.10.231 10.192.11.208 5000 34326 6 5 450 1633688674 1633688681 ACCEPT OK
2 972794921841 eni-03f454ca172921d2a 10.192.11.208 10.192.10.231 34326 5000 6 5 407 1633688674 1633688681 ACCEPT OK
2 972794921841 eni-03f454ca172921d2a 162.142.125.159 10.192.11.208 31448 12438 6 1 44 1633688674 1633688681 REJECT OK
2 972794921841 eni-02c8133124e8480ab 192.241.206.88 10.192.10.41 54524 1194 17 1 38 1633688657 1633688672 REJECT OK
2 972794921841 eni-02c8133124e8480ab 10.192.10.231 10.192.10.41 5000 42052 6 6 502 1633688657 1633688672 ACCEPT OK
2 972794921841 eni-02c8133124e8480ab 10.192.10.231 10.192.10.41 5000 41964 6 6 502 1633688657 1633688672 ACCEPT OK
2 972794921841 eni-02c8133124e8480ab 10.192.10.41 10.192.10.231 42052 5000 6 6 459 1633688657 1633688672 ACCEPT OK
2 972794921841 eni-02c8133124e8480ab 10.192.10.231 10.192.10.41 5000 41916 6 5 450 1633688657 1633688672 ACCEPT OK
2 972794921841 eni-02c8133124e8480ab 10.192.10.41 10.192.10.231 41916 5000 6 5 407 1633688657 1633688672 ACCEPT OK
2 972794921841 eni-02c8133124e8480ab 10.192.10.41 10.192.10.231 41964 5000 6 6 459 1633688657 1633688672 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 54.239.30.177 46900 443 6 20 3695 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35716 22 6 20 2430 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 10.192.11.208 5000 34268 6 5 450 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 192.241.201.161 0 0 1 1 66 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.11.208 10.192.10.231 34326 5000 6 5 407 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35754 22 6 22 2550 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35714 22 6 20 2414 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35714 6 24 3225 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35672 6 12 1120 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35716 6 25 3277 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35664 6 6 568 1633688651 1633688664 ACCEPT OK
